                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75437,                 1.1279,                0.72915,                0.36705,                0.15793,                 0.1372,                0.07385,                0.75983,                 1.4278,                0.73514,               0.083422,               0.016578,               0.016578
                      1,                0.79619,                 1.0416,                0.73244,                0.38202,                 0.1724,                0.06751,                0.03175,                0.91889,                 2.2615,                0.90479,               0.065274,               0.031764,               0.031764
                      2,                0.86085,                 1.1375,                0.79193,                0.60195,                0.04589,                0.03814,                 0.0147,                 1.1705,                 3.0658,                 1.1828,               0.045642,               0.045465,               0.045465
                      3,                0.85717,                  1.105,                 0.8003,                0.46857,                 0.1401,                0.08441,                0.04342,                0.91621,                 1.6141,                0.90359,               0.043318,               0.043318,               0.043318
                      4,                0.81583,                 1.0368,                0.77442,                0.54918,                0.17647,                0.13264,                0.06286,                0.87028,                 1.3398,                0.86805,               0.043318,               0.043318,               0.043318
                      5,                0.78878,                0.99241,                 0.7573,                0.53399,                0.19016,                0.14262,                0.07537,                0.81866,                 1.2909,                0.82544,               0.041091,               0.041091,               0.041091
                      6,                0.77196,                0.96292,                0.74788,                0.54481,                0.19554,                0.13746,                0.07203,                 0.7954,                 1.2818,                0.78893,               0.038864,               0.038864,               0.038864
                      7,                0.75794,                0.94452,                0.73926,                0.42858,                0.22753,                0.17593,                0.09115,                0.78641,                 1.1767,                0.77675,               0.036636,               0.036636,               0.036636
                      8,                0.74947,                0.92209,                0.73148,                 0.4497,                0.22368,                0.17645,                0.09466,                0.76119,                  1.196,                0.75577,               0.034409,               0.034409,               0.034409
                      9,                0.74005,                0.90947,                0.72705,                0.33772,                0.21898,                0.16155,                0.09637,                 0.7501,                 1.1176,                0.74894,               0.032182,               0.032182,               0.032182
                     10,                 0.7282,                0.88857,                0.71646,                0.37865,                 0.2272,                0.16356,                0.09412,                0.75156,                 1.1383,                0.74373,               0.029955,               0.029955,               0.029955
                     11,                0.72347,                0.87778,                0.71259,                 0.5245,                0.21115,                0.19544,                0.11161,                0.73149,                 1.0761,                0.73495,               0.027727,               0.027727,               0.027727
                     12,                0.71476,                0.86371,                0.70575,                0.40159,                0.24513,                0.18879,                0.11305,                  0.714,                 1.0483,                0.72738,                 0.0255,                 0.0255,                 0.0255
                     13,                0.71163,                0.85721,                0.70455,                0.29174,                0.22509,                0.17911,                0.10673,                0.70649,                 1.1073,                0.71116,               0.023273,               0.023273,               0.023273
                     14,                0.70229,                0.84121,                  0.696,                0.48108,                0.25225,                0.20276,                0.12094,                 0.7058,                 1.0586,                0.71203,               0.021045,               0.021045,               0.021045
                     15,                0.69667,                0.83367,                0.69326,                0.36273,                0.25336,                0.20445,                 0.1171,                0.69492,                 1.0326,                0.69921,               0.018818,               0.018818,               0.018818
                     16,                0.68742,                0.80651,                0.68491,                0.27828,                0.24916,                0.21269,                0.12571,                0.68339,                 1.0207,                0.69462,               0.016591,               0.016591,               0.016591
                     17,                0.68059,                0.80274,                0.68139,                0.34376,                 0.2493,                0.21591,                0.13104,                0.68529,                0.99984,                 0.6966,               0.014364,               0.014364,               0.014364
                     18,                0.67343,                0.78626,                0.67628,                0.38826,                0.24931,                0.22281,                0.13555,                0.67196,                 1.0071,                0.68004,               0.012136,               0.012136,               0.012136
                     19,                0.66845,                0.77494,                0.67386,                0.31729,                0.25677,                0.22662,                0.13602,                0.66536,                0.98076,                0.67159,              0.0099091,              0.0099091,              0.0099091
                     20,                0.65941,                0.75959,                0.66566,                0.33848,                0.26575,                0.21604,                0.13749,                0.66055,                0.98986,                0.67412,              0.0076818,              0.0076818,              0.0076818
                     21,                0.65214,                0.75128,                0.66171,                 0.3104,                0.26782,                0.22908,                0.13907,                0.65362,                0.96501,                 0.6669,              0.0054545,              0.0054545,              0.0054545
